Date,Close,Ticker,Close,Close,Close,Close,Close,Close,Close,Close,Close
,AAPL,,MSFT,GOOGL,AMZN,META,TSLA,NVDA,JPM,V,UNH
2015-01-02,24.288583755493164,AAPL,,,,,,,,,
2015-01-05,23.604328155517578,AAPL,,,,,,,,,
2015-01-06,23.606555938720703,AAPL,,,,,,,,,
2015-01-07,23.937570571899414,AAPL,,,,,,,,,
2015-01-08,24.85730743408203,AAPL,,,,,,,,,
2015-01-09,24.883962631225586,AAPL,,,,,,,,,
2015-01-12,24.270811080932617,AAPL,,,,,,,,,
2015-01-13,24.486305236816406,AAPL,,,,,,,,,
2015-01-14,24.392993927001953,AAPL,,,,,,,,,
2015-01-15,23.73096466064453,AAPL,,,,,,,,,
2015-01-16,23.54656982421875,AAPL,,,,,,,,,
2015-01-20,24.153066635131836,AAPL,,,,,,,,,
2015-01-21,24.33745765686035,AAPL,,,,,,,,,
2015-01-22,24.970605850219727,AAPL,,,,,,,,,
2015-01-23,25.099464416503906,AAPL,,,,,,,,,
2015-01-26,25.126121520996094,AAPL,,,,,,,,,
2015-01-27,24.246368408203125,AAPL,,,,,,,,,
2015-01-28,25.617084503173828,AAPL,,,,,,,,,
2015-01-29,26.41463279724121,AAPL,,,,,,,,,
2015-01-30,26.02808380126953,AAPL,,,,,,,,,
2015-02-02,26.35464859008789,AAPL,,,,,,,,,
2015-02-03,26.359100341796875,AAPL,,,,,,,,,
2015-02-04,26.561264038085938,AAPL,,,,,,,,,
2015-02-05,26.750839233398438,AAPL,,,,,,,,,
2015-02-06,26.525575637817383,AAPL,,,,,,,,,
2015-02-09,26.701770782470703,AAPL,,,,,,,,,
2015-02-10,27.214754104614258,AAPL,,,,,,,,,
2015-02-11,27.85264015197754,AAPL,,,,,,,,,
2015-02-12,28.205032348632812,AAPL,,,,,,,,,
2015-02-13,28.343311309814453,AAPL,,,,,,,,,
2015-02-17,28.51058578491211,AAPL,,,,,,,,,
2015-02-18,28.709096908569336,AAPL,,,,,,,,,
2015-02-19,28.648866653442383,AAPL,,,,,,,,,
2015-02-20,28.883060455322266,AAPL,,,,,,,,,
2015-02-23,29.663677215576172,AAPL,,,,,,,,,
2015-02-24,29.478561401367188,AAPL,,,,,,,,,
2015-02-25,28.72470474243164,AAPL,,,,,,,,,
2015-02-26,29.088254928588867,AAPL,,,,,,,,,
2015-02-27,28.65110206604004,AAPL,,,,,,,,,
2015-03-02,28.791610717773438,AAPL,,,,,,,,,
